product_id,product_vendor,product_name,availability,size,colours,cost,category,sub_category,user_id,quantity_ordered,payment_details,delivery_address,order_status,date,month
1,2,Jeans SlateGray,98,Large,SlateGray,797.62,Kids,Jeans,1159,2,netbanking,Arunachal Pradesh,Delivered,11,March
2,19,T-Shirts MediumPurple,64,Large,MediumPurple,106.12,Women,T-Shirts,781,3,UPI,West Bengal,Cancelled,14,October
3,6,T-Shirts MidnightBlue,3,Large,MidnightBlue,971.29,Kids,T-Shirts,705,2,netbanking,Tamil Nadu,Delivered,19,July
4,19,Ethnic LightBlue,10,Large,LightBlue,346.54,Men,Ethnic,729,4,UPI,Nagaland,Returned,3,December
5,2,Western Fuchsia,44,Medium,Fuchsia,452.08,Kids,Western,46,2,UPI,Tamil Nadu,Delivered,20,August
6,17,Ethnic Aqua,100,Medium,Aqua,314.29,Men,Ethnic,600,4,UPI,Uttarakhand,Delivered,1,July
7,20,Ethnic MidnightBlue,70,Small,MidnightBlue,289.58,Women,Ethnic,339,2,UPI,Goa,Delivered,1,March
8,11,Pants Chartreuse,63,Large,Chartreuse,962.65,Women,Pants,805,4,cashondelivery,Madhya Pradesh,Returned,6,July
9,29,Jeans Turquoise,10,Large,Turquoise,56.88,Men,Jeans,869,3,netbanking,Manipur,Returned,27,August
10,15,Saree LightYellow,67,Large,LightYellow,966.5,Women,Saree,1230,3,netbanking,Tamil Nadu,Cancelled,27,March
11,6,Western Silver,35,Medium,Silver,136.77,Women,Western,144,2,netbanking,Uttarakhand,Cancelled,18,February
12,26,Casuals Cornsilk,12,Medium,Cornsilk,989.35,Kids,Casuals,1232,2,netbanking,Arunachal Pradesh,Delivered,16,April
13,1,Saree Moccasin,21,Medium,Moccasin,859.49,Women,Saree,634,4,UPI,Nagaland,Delivered,19,September
14,26,Saree RosyBrown,92,Large,RosyBrown,551.43,Women,Saree,1259,4,UPI,Karnataka,Returned,29,February
15,16,Saree LightBlue,21,Large,LightBlue,528.79,Women,Saree,1487,2,UPI,Andhra Pradesh,Cancelled,6,May
16,19,Saree DeepPink,24,Medium,DeepPink,999.29,Kids,Saree,162,2,cashondelivery,Meghalaya,Returned,23,February
17,27,Formals Plum,78,Large,Plum,739.54,Kids,Formals,1045,2,cashondelivery,Assam,Cancelled,23,May
18,17,Western PapayaWhip,30,Medium,PapayaWhip,231.81,Kids,Western,1374,1,cashondelivery,Bihar,Returned,10,November
19,30,Tops Red,73,Small,Red,378.84,Kids,Tops,1477,4,cashondelivery,Manipur,Returned,11,October
20,18,Jeans PowderBlue,35,Small,PowderBlue,671.42,Women,Jeans,93,3,netbanking,Bihar,Cancelled,10,August
21,27,Casuals Chocolate,40,Large,Chocolate,815.16,Men,Casuals,899,1,UPI,Odisha,Delivered,19,March
22,6,T-Shirts LightGoldenRodYellow,31,Medium,LightGoldenRodYellow,770.11,Kids,T-Shirts,1321,2,netbanking,Himachal Pradesh,Returned,19,August
23,10,Western Salmon,64,Medium,Salmon,482.59,Men,Western,679,1,UPI,Meghalaya,Cancelled,11,May
24,17,Tops Navy,62,Medium,Navy,11.12,Kids,Tops,1264,2,netbanking,Sikkim,Delivered,1,November
25,9,Pants AntiqueWhite,59,Large,AntiqueWhite,230.44,Men,Pants,414,1,cashondelivery,Odisha,Delivered,6,September
26,16,Jeans PaleVioletRed,15,Small,PaleVioletRed,996.0,Women,Jeans,103,1,netbanking,Madhya Pradesh,Returned,20,September
27,28,Western Tomato,31,Small,Tomato,703.74,Men,Western,1091,4,UPI,Goa,Returned,27,January
28,24,Western HotPink,18,Medium,HotPink,761.09,Women,Western,716,3,UPI,Assam,Returned,16,June
29,22,Shirts Gold,59,Large,Gold,979.73,Men,Shirts,281,2,cashondelivery,Mizoram,Returned,17,April
30,18,Casuals DarkOrange,77,Medium,DarkOrange,233.42,Men,Casuals,688,1,netbanking,Karnataka,Delivered,4,March
31,3,T-Shirts Black,68,Medium,Black,106.65,Men,T-Shirts,1094,4,UPI,Telangana,Returned,30,April
32,14,Formals Gray,40,Medium,Gray,844.99,Men,Formals,1305,2,netbanking,Tripura,Returned,5,September
33,29,Formals OldLace,25,Large,OldLace,926.71,Men,Formals,1208,3,UPI,Haryana,Returned,17,July
34,4,Ethnic LightCyan,82,Large,LightCyan,854.23,Kids,Ethnic,966,1,cashondelivery,Meghalaya,Delivered,8,February
35,25,Formals Olive,46,Medium,Olive,990.52,Kids,Formals,929,4,netbanking,Jharkhand,Delivered,15,January
36,15,Ethnic YellowGreen,96,Large,YellowGreen,279.23,Men,Ethnic,898,4,UPI,Gujarat,Delivered,20,November
37,26,Trousers Khaki,20,Medium,Khaki,713.82,Kids,Trousers,371,4,cashondelivery,Gujarat,Returned,7,March
38,9,T-Shirts RoyalBlue,82,Large,RoyalBlue,292.99,Men,T-Shirts,555,1,netbanking,Meghalaya,Cancelled,5,May
